bigbag_filling_time_end,orders_details_id,bigbag_number,bigbag_filling_duration,bigbag_weight,efficiency,class,time_start,steam_preasure,dd_speed,temp_out,moisture,bulk_density,fat,p1,p2,p3,moisture2
2018-06-04 19:00:00.000,1,1,100.0,409.0,102.0,optimal,2018-06-04 17:20:00.000,,,,,,0.060604000000000005,0.5373410000000001,0.21057900000000002,0.233674,11.4533
2018-06-04 20:35:00.000,1,2,115.0,460.0,100.0,optimal,2018-06-04 18:40:00.000,8.0,7.5,118.0,4.01,215.0,0.060604000000000005,0.5373410000000001,0.21057900000000002,0.233674,11.4533
2018-06-04 22:15:00.000,1,3,80.0,368.0,115.0,above,2018-06-04 20:55:00.000,8.0,7.5,118.0,4.0,200.0,0.060604000000000005,0.5373410000000001,0.21057900000000002,0.233674,11.4533
2018-06-04 23:35:00.000,1,4,80.0,344.0,107.0,optimal,2018-06-04 22:15:00.000,8.0,8.25,113.5,4.04,200.0,0.060604000000000005,0.5373410000000001,0.21057900000000002,0.233674,11.4533
2018-06-05 01:05:00.000,1,5,90.0,380.0,105.0,optimal,2018-06-04 23:35:00.000,8.2,8.5,112.0,3.84,200.0,0.060604000000000005,0.5373410000000001,0.21057900000000002,0.233674,11.4533
2018-06-05 02:35:00.000,1,6,90.0,374.0,104.0,optimal,2018-06-05 01:05:00.000,8.2,8.5,112.0,4.04,185.0,0.060604000000000005,0.5373410000000001,0.21057900000000002,0.233674,11.4533
2018-06-05 04:05:00.000,1,7,90.0,325.0,90.0,below,2018-06-05 02:35:00.000,8.2,8.5,113.0,3.79,200.0,0.060604000000000005,0.5373410000000001,0.21057900000000002,0.233674,11.4533
2018-06-05 05:25:00.000,1,8,80.0,302.0,94.0,below,2018-06-05 04:05:00.000,8.2,9.0,113.0,3.41,230.0,0.060604000000000005,0.5373410000000001,0.21057900000000002,0.233674,11.4533
2018-06-05 06:50:00.000,1,9,85.0,278.0,81.0,below,2018-06-05 05:25:00.000,,,,,,0.060604000000000005,0.5373410000000001,0.21057900000000002,0.233674,11.4533
2018-06-05 10:40:00.000,1,10,105.0,358.0,85.0,below,2018-06-05 08:55:00.000,,,,,,0.060604000000000005,0.5373410000000001,0.21057900000000002,0.233674,11.4533
2018-06-05 12:10:00.000,1,11,90.0,385.0,106.0,optimal,2018-06-05 10:40:00.000,,,,,,0.060604000000000005,0.5373410000000001,0.21057900000000002,0.233674,11.4533
2018-06-05 13:30:00.000,1,12,80.0,291.0,90.0,below,2018-06-05 12:10:00.000,7.5,9.5,112.0,3.32,210.0,0.060604000000000005,0.5373410000000001,0.21057900000000002,0.233674,11.4533
2018-06-06 15:00:00.000,3,1,100.0,374.0,93.0,below,2018-06-06 13:20:00.000,8.0,9.0,113.0,3.93,190.0,0.060376,0.5407040000000001,0.21177600000000002,0.229456,11.455200000000001
2018-06-06 16:40:00.000,3,2,100.0,455.0,113.0,above,2018-06-06 15:00:00.000,8.0,9.0,113.0,3.84,190.0,0.060376,0.5407040000000001,0.21177600000000002,0.229456,11.455200000000001
2018-06-06 18:20:00.000,3,3,100.0,410.0,102.0,optimal,2018-06-06 16:40:00.000,7.8,9.0,114.0,4.13,220.0,0.060376,0.5407040000000001,0.21177600000000002,0.229456,11.455200000000001
2018-06-06 20:00:00.000,3,4,100.0,405.0,101.0,optimal,2018-06-06 18:20:00.000,7.8,9.0,114.0,3.175,225.0,0.060376,0.5407040000000001,0.21177600000000002,0.229456,11.455200000000001
2018-06-06 21:20:00.000,3,5,80.0,322.0,100.0,optimal,2018-06-06 20:00:00.000,7.8,9.0,114.0,3.4,230.0,0.060376,0.5407040000000001,0.21177600000000002,0.229456,11.455200000000001
2018-06-06 22:50:00.000,3,6,90.0,375.0,104.0,optimal,2018-06-06 21:20:00.000,7.8,9.0,114.0,3.6550000000000002,220.0,0.060376,0.5407040000000001,0.21177600000000002,0.229456,11.455200000000001
2018-06-07 00:25:00.000,3,7,95.0,409.0,108.0,optimal,2018-06-06 22:50:00.000,7.8,9.0,114.0,3.42,220.0,0.060376,0.5407040000000001,0.21177600000000002,0.229456,11.455200000000001
2018-06-07 02:00:00.000,3,8,95.0,446.0,117.0,above,2018-06-07 00:25:00.000,7.8,9.5,114.0,3.5549999999999997,220.0,0.060376,0.5407040000000001,0.21177600000000002,0.229456,11.455200000000001
2018-06-07 03:45:00.000,3,9,105.0,478.0,114.0,above,2018-06-07 02:00:00.000,7.8,9.5,114.0,4.0,240.0,0.060376,0.5407040000000001,0.21177600000000002,0.229456,11.455200000000001
2018-06-07 05:00:00.000,3,10,75.0,385.0,128.0,above,2018-06-07 03:45:00.000,7.8,9.5,114.0,5.15,240.0,0.060376,0.5407040000000001,0.21177600000000002,0.229456,11.455200000000001
2018-06-07 06:25:00.000,3,11,80.0,365.0,,,2018-06-07 05:05:00.000,8.0,9.5,114.0,4.44,220.0,0.060376,0.5407040000000001,0.21177600000000002,0.229456,11.455200000000001
2018-06-25 17:25:00.000,4,1,59.0,200.0,100.0,optimal,2018-06-25 16:26:00.000,,,,,,0.05639500000000001,0.538625,0.20745000000000002,0.243925,11.546500000000002
2018-06-25 18:40:00.000,4,2,75.0,378.0,126.0,above,2018-06-25 17:25:00.000,,,,,,0.05639500000000001,0.538625,0.20745000000000002,0.243925,11.546500000000002
2018-06-25 20:00:00.000,4,3,80.0,354.0,110.0,optimal,2018-06-25 18:40:00.000,8.0,9.0,121.0,3.63,200.0,0.05639500000000001,0.538625,0.20745000000000002,0.243925,11.546500000000002
2018-06-25 21:15:00.000,4,4,75.0,350.0,116.0,above,2018-06-25 20:00:00.000,8.0,9.0,121.0,4.46,200.0,0.05639500000000001,0.538625,0.20745000000000002,0.243925,11.546500000000002
2018-06-25 22:30:00.000,4,5,75.0,369.0,123.0,above,2018-06-25 21:15:00.000,8.0,9.0,120.5,3.7800000000000002,210.0,0.05639500000000001,0.538625,0.20745000000000002,0.243925,11.546500000000002
2018-06-25 23:50:00.000,4,6,80.0,386.0,121.0,above,2018-06-25 22:30:00.000,8.0,9.0,120.0,4.74,200.0,0.05639500000000001,0.538625,0.20745000000000002,0.243925,11.546500000000002
